rcept_no,rcept_dt,corp_code,corp_name,repror,isu_exctv_rgist_at,isu_exctv_ofcps,isu_main_shrholdr,sp_stock_lmp_cnt,sp_stock_lmp_irds_cnt,sp_stock_lmp_rate,sp_stock_lmp_irds_rate
20240411003209,2024-04-11,00109286,DAEDONG CORPORATION,김준식,Registered executive,공동대표이사,10%이상주주,"5,771,136","28,997",22.05,-0.51
20240411003468,2024-04-11,00109286,DAEDONG CORPORATION,권기재,Unregistered executive,부사장,-,"4,126","4,126",0.02,0.02
20240411003382,2024-04-11,00109286,DAEDONG CORPORATION,이종순,Registered executive,부사장,-,"9,056","4,164",0.03,0.01
20240411003355,2024-04-11,00109286,DAEDONG CORPORATION,원유현,Registered executive,공동대표이사,-,"36,696","16,363",0.14,0.06
20250407003581,2025-04-07,00109286,DAEDONG CORPORATION,박준식,Unregistered executive,부사장,-,"2,455","2,455",0.01,0.01
20250407003574,2025-04-07,00109286,DAEDONG CORPORATION,권기재,Unregistered executive,부사장,-,"7,399","3,273",0.03,0.01
20250407003567,2025-04-07,00109286,DAEDONG CORPORATION,이종순,Registered executive,부사장,-,"11,511","2,455",0.04,0.01
20250407003562,2025-04-07,00109286,DAEDONG CORPORATION,원유현,Registered executive,공동대표이사,-,"59,019","22,323",0.23,0.09
20250407003586,2025-04-07,00109286,DAEDONG CORPORATION,나영중,Unregistered executive,전무,-,706,706,0.00,0.00
20250407003548,2025-04-07,00109286,DAEDONG CORPORATION,김준식,Registered executive,공동대표이사,Shareholders holding 10% or more,"5,804,621","33,485",22.17,0.13
20240626000328,2024-06-26,00144252,UNION CORPORATION,이우선,Registered executive,대표이사 부사장,-,"2,101,150","101,150",13.46,0.65
20240321000972,2024-03-21,00303217,WOOJIN PLAIMM,임동규,Registered executive,부사장,-,"45,000","45,000",0.45,0.45
20240321001051,2024-03-21,00303217,WOOJIN PLAIMM,김익환,Registered executive,대표이사,10%이상주주,"5,050,286","2,525,143",25.25,0.00
20240321001281,2024-03-21,00303217,WOOJIN PLAIMM,김정순,-,-,10%이상주주,"2,471,706","1,235,853",12.36,0.00
20240321001397,2024-03-21,00303217,WOOJIN PLAIMM,임동규,Registered executive,부사장,-,"90,000","45,000",0.45,0.00
20240322000835,2024-03-22,00303217,WOOJIN PLAIMM,임동규,Registered executive,부사장,-,"160,000","70,000",0.80,0.35
20241115000290,2024-11-15,00303217,WOOJIN PLAIMM,임동규,Registered executive,부사장,-,"184,000","24,000",0.92,0.12
20230825000663,2023-08-25,00112970,TAIHAN TEXTILE,설범,Registered executive,대표이사 회장,사실상지배주주,"1,265,000","71,030",23.87,1.34
20231006000580,2023-10-06,00112970,TAIHAN TEXTILE,설범,Registered executive,대표이사 회장,사실상지배주주,"1,308,409","43,409",24.69,0.82
20231120000838,2023-11-20,00112970,TAIHAN TEXTILE,설범,Registered executive,대표이사 회장,사실상지배주주,"1,327,542","19,133",25.05,0.36
20240102000372,2024-01-02,00112970,TAIHAN TEXTILE,설범,Registered executive,대표이사 회장,사실상지배주주,"1,339,134","11,592",25.27,0.22
20240104000394,2024-01-04,00112970,TAIHAN TEXTILE,박기대,Registered executive,상근감사,-,1,1,0.00,0.00
20240119000586,2024-01-19,00112970,TAIHAN TEXTILE,설범,Registered executive,대표이사 회장,사실상지배주주,"1,365,451","26,317",25.76,0.49
20240304000546,2024-03-04,00112970,TAIHAN TEXTILE,설범,Registered executive,대표이사 회장,사실상지배주주,"1,380,229","14,778",26.04,0.28
20240318000787,2024-03-18,00112970,TAIHAN TEXTILE,설범,Registered executive,대표이사 회장,사실상지배주주,"1,388,671","8,442",26.20,0.16
20240312000669,2024-03-12,00129554,Galaxia SM,에스엠,-,-,10%이상주주,"2,550,000","-922,222",9.26,-3.38
20231218000021,2023-12-18,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,10%이상주주,"2,618,984","2,618,984",10.06,10.06
20231227000196,2023-12-27,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,10%이상주주,"2,621,376","2,392",10.07,0.01
20240105000022,2024-01-05,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,10%이상주주,"2,660,876","39,500",10.22,0.15
20240115000028,2024-01-15,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,10%이상주주,"2,671,376","10,500",10.26,0.04
20240123000006,2024-01-23,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,10%이상주주,"2,750,576","79,200",10.56,0.30
20240131000035,2024-01-31,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,10%이상주주,"2,779,576","29,000",10.67,0.11
20240208000364,2024-02-08,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,10%이상주주,"2,794,276","14,700",10.73,0.06
20240320000489,2024-03-20,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,10%이상주주,"2,854,376","60,100",10.96,0.23
20240328000091,2024-03-28,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,10%이상주주,"2,885,276","30,900",11.08,0.12
20240822000039,2024-08-22,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,10%이상주주,"3,145,676","35,300",12.08,0.14
20240822000036,2024-08-22,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,10%이상주주,"3,110,376","40,900",11.94,0.15
20240822000031,2024-08-22,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,10%이상주주,"3,069,476","44,700",11.79,0.17
20240822000028,2024-08-22,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,10%이상주주,"3,024,776","52,700",11.62,0.21
20240822000022,2024-08-22,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,10%이상주주,"2,972,076","28,700",11.41,0.11
20240822000017,2024-08-22,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,10%이상주주,"2,943,376","58,100",11.30,0.22
20240822000044,2024-08-22,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,10%이상주주,"3,173,776","28,100",12.19,0.11
20241212000027,2024-12-12,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,10%이상주주,"3,229,125","55,349",12.40,0.21
20241220000103,2024-12-20,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,10%이상주주,"3,270,544","41,419",12.56,0.16
20250102000024,2025-01-02,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,10%이상주주,"3,323,139","52,595",12.76,0.20
20250110000037,2025-01-10,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,10%이상주주,"3,348,238","25,099",12.86,0.10
20250312000087,2025-03-12,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,Shareholders holding 10% or more,"3,386,520","38,282",13.00,0.14
20250320000440,2025-03-20,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,Shareholders holding 10% or more,"3,424,220","37,700",13.15,0.15
20250327000034,2025-03-27,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,Shareholders holding 10% or more,"3,433,720","9,500",13.19,0.04
20250403000150,2025-04-03,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,Shareholders holding 10% or more,"3,503,520","69,800",13.45,0.26
20250410000227,2025-04-10,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,Shareholders holding 10% or more,"3,582,558","79,038",13.76,0.31
20250417000023,2025-04-17,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,Shareholders holding 10% or more,"3,624,938","42,380",13.92,0.16
20250424000089,2025-04-24,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,Shareholders holding 10% or more,"3,660,738","35,800",14.06,0.14
20250502000030,2025-05-02,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,Shareholders holding 10% or more,"3,701,738","41,000",14.21,0.15
20250513000025,2025-05-13,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,Shareholders holding 10% or more,"3,709,038","7,300",14.24,0.03
20250527000421,2025-05-27,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,Shareholders holding 10% or more,"3,767,396","58,358",14.47,0.23
20250605000041,2025-06-05,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,Shareholders holding 10% or more,"3,841,338","73,942",14.75,0.28
20250616000033,2025-06-16,00163691,EUSU HOLDINGS,TheMiriStrategicEmergingMarketsFundLP,-,-,Shareholders holding 10% or more,"3,870,644","29,306",14.86,0.11
20231026000051,2023-10-26,00260392,DAWON CABLE,서정석,Registered executive,전무이사,-,"352,432","110,757",0.47,0.14
20231102000015,2023-11-02,00260392,DAWON CABLE,서정석,Registered executive,전무이사,-,"494,815","142,383",0.66,0.19
20231115000024,2023-11-15,00260392,DAWON CABLE,서정석,Registered executive,전무이사,-,"541,675","46,860",0.73,0.07
20240325000502,2024-03-25,00260392,DAWON CABLE,서명환,Registered executive,대표이사,사실상지배주주,"1,792,773","602,928",2.38,0.78
20240325000507,2024-03-25,00260392,DAWON CABLE,서정석,Registered executive,전무이사,-,"1,661,399","1,119,724",2.19,1.46
20240325000521,2024-03-25,00260392,DAWON CABLE,SUH ANNY,-,-,10%이상주주,"1,741,989","1,291,989",2.30,1.70
20240415000233,2024-04-15,00260392,DAWON CABLE,서명환,Registered executive,대표이사,사실상지배주주,"1,792,773",0,2.31,-0.07
20240415000254,2024-04-15,00260392,DAWON CABLE,SUH ANNY,-,-,10%이상주주,"1,741,989",0,2.25,-0.05
20240415000239,2024-04-15,00260392,DAWON CABLE,서정석,Registered executive,전무이사,-,"1,661,399",0,2.14,-0.05
20240416000010,2024-04-16,00260392,DAWON CABLE,갑도물산,-,-,10%이상주주,"18,575,825","-1,600,000",23.94,-3.11
20240508000005,2024-05-08,00260392,DAWON CABLE,갑도물산,-,-,10%이상주주,"17,375,825","-1,200,000",22.39,-1.55
20240517000021,2024-05-17,00260392,DAWON CABLE,대원홀딩스,-,-,10%이상주주,0,"-23,909",0,-0.03
20240517000015,2024-05-17,00260392,DAWON CABLE,갑도물산,-,-,10%이상주주,"15,899,734","-1,476,091",20.49,-1.90
20241024000256,2024-10-24,00260392,DAWON CABLE,서정석,Registered executive,전무이사,-,"2,101,399","440,000",2.71,0.57
20241105000021,2024-11-05,00260392,DAWON CABLE,서명환,Registered executive,대표이사,사실상지배주주,"1,908,780","116,007",2.46,0.15
20241105000024,2024-11-05,00260392,DAWON CABLE,서정석,Registered executive,전무이사,-,"2,201,399","100,000",2.84,0.13
20241114001190,2024-11-14,00260392,DAWON CABLE,서명환,Registered executive,대표이사,사실상지배주주,"2,208,780","300,000",2.85,0.39
20241114001221,2024-11-14,00260392,DAWON CABLE,서정석,Registered executive,전무이사,-,"2,261,399","60,000",2.91,0.07
20241209000131,2024-12-09,00260392,DAWON CABLE,갑도물산,-,-,10%이상주주,"16,099,734","200,000",20.75,0.26
20241210000179,2024-12-10,00260392,DAWON CABLE,갑도물산,-,-,10%이상주주,"16,249,734","150,000",20.94,0.19
20241216000020,2024-12-16,00260392,DAWON CABLE,갑도물산,-,-,10%이상주주,"16,329,837","80,103",21.04,0.10
20241224000148,2024-12-24,00260392,DAWON CABLE,SUH ANNY,-,-,10%이상주주,"1,041,989","-700,000",1.34,-0.91
20250318000032,2025-03-18,00260392,DAWON CABLE,서명환,Registered executive,대표이사,Effective controlling shareholders,"2,452,680","243,900",3.16,0.31
20250318000040,2025-03-18,00260392,DAWON CABLE,서정석,Registered executive,전무이사,-,"2,356,399","95,000",3.04,0.13
20250318000052,2025-03-18,00260392,DAWON CABLE,갑도물산,-,-,Shareholders holding 10% or more,"16,414,150","84,313",21.15,0.11
20250325000066,2025-03-25,00260392,DAWON CABLE,갑도물산,-,-,Shareholders holding 10% or more,"16,587,805","173,655",21.38,0.23
20250402000397,2025-04-02,00260392,DAWON CABLE,대원홀딩스,-,-,Shareholders holding 10% or more,"30,000","30,000",0.04,0.04
20250410000749,2025-04-10,00260392,DAWON CABLE,금성실업,-,-,Shareholders holding 10% or more,"200,000","200,000",0.26,0.26
20250703000105,2025-07-03,00260392,DAWON CABLE,SUH ANNY,-,-,Shareholders holding 10% or more,"1,241,989","200,000",1.60,0.26
20250709000023,2025-07-09,00260392,DAWON CABLE,SUH ANNY,-,-,Shareholders holding 10% or more,"1,341,989","100,000",1.73,0.13
20250730000027,2025-07-30,00260392,DAWON CABLE,박군자,-,-,Effective controlling shareholders,"50,000","50,000",0.06,0.06
20231101000226,2023-11-01,00105156,KUKDONG OIL & CHEMICALS,장홍선,Registered executive,대표이사(회장),10%이상주주,"7,540,487","-103,093",21.62,-0.30
20240108000265,2024-01-08,00148939,CHOKWANG LEATHER,박영옥,-,-,10%이상주주,"842,486","20,000",12.67,0.30
20241230000560,2024-12-30,00148939,CHOKWANG LEATHER,이연석,Registered executive,대표이사,10%이상주주,"1,020,159","24,000",15.34,0.36
20230818000434,2023-08-18,01234297,Miwon Specialty Chemical,미원스페셜티케미칼 우리사주조합,-,-,10%이상주주,"511,560",-324,10.23,-0.01
20230911000208,2023-09-11,01234297,Miwon Specialty Chemical,미원스페셜티케미칼 우리사주조합,-,-,10%이상주주,"510,949",-611,10.22,-0.01
20230925000268,2023-09-25,01234297,Miwon Specialty Chemical,미원스페셜티케미칼 우리사주조합,-,-,10%이상주주,"510,409",-540,10.21,-0.01
20231006000591,2023-10-06,01234297,Miwon Specialty Chemical,미원스페셜티케미칼 우리사주조합,-,-,10%이상주주,"512,339","1,930",10.25,0.04
20231016000088,2023-10-16,01234297,Miwon Specialty Chemical,배원,Registered executive,대표이사,-,"29,745",206,0.59,0.01
20231018000332,2023-10-18,01234297,Miwon Specialty Chemical,미원스페셜티케미칼 우리사주조합,-,-,10%이상주주,"511,220","-1,119",10.22,-0.03
20231121000299,2023-11-21,01234297,Miwon Specialty Chemical,미원스페셜티케미칼 우리사주조합,-,-,10%이상주주,"510,438",-782,10.21,-0.01
20231212000075,2023-12-12,01234297,Miwon Specialty Chemical,김정돈,-,-,10%이상주주,"678,500","-1,494",13.57,0.24
20231228000527,2023-12-28,01234297,Miwon Specialty Chemical,김정돈,-,-,10%이상주주,"678,220",-280,13.56,-0.01
20240112000466,2024-01-12,01234297,Miwon Specialty Chemical,미원스페셜티케미칼 우리사주조합,-,-,10%이상주주,"507,516","-2,922",10.15,-0.06
20240129000165,2024-01-29,01234297,Miwon Specialty Chemical,미원스페셜티케미칼 우리사주조합,-,-,10%이상주주,"506,621",-895,10.13,-0.02
20240214002321,2024-02-14,01234297,Miwon Specialty Chemical,미원스페셜티케미칼 우리사주조합,-,-,10%이상주주,"502,150","-4,471",10.04,-0.09
20240219000583,2024-02-19,01234297,Miwon Specialty Chemical,미원스페셜티케미칼 우리사주조합,-,-,10%이상주주,"496,973","-5,177",9.94,-0.1
20241218000356,2024-12-18,01234297,Miwon Specialty Chemical,김정돈,-,-,10%이상주주,"677,760",-460,13.56,-0.00
20250106000018,2025-01-06,01234297,Miwon Specialty Chemical,이종일,Unregistered executive,이사대우,-,590,590,0.01,0.01
20250219001290,2025-02-19,01234297,Miwon Specialty Chemical,김정돈,-,-,Shareholders holding 10% or more,"677,460",-300,13.55,-0.01
20250430000240,2025-04-30,01234297,Miwon Specialty Chemical,김정돈,-,-,Shareholders holding 10% or more,"676,800",-660,13.54,-0.01
20250708000102,2025-07-08,01234297,Miwon Specialty Chemical,김정돈,-,-,Shareholders holding 10% or more,"670,000","-6,800",13.40,-0.14
20250310000927,2025-03-10,00166272,Hwaseung Corporation,현지호,Registered executive,부회장,Shareholders holding 10% or more,"20,237,275","2,500,000",40.43,4.99
20241209000141,2024-12-09,00143794,WONLIM CORPORATION,류헌열,Registered executive,이사,-,"1,000","1,000",0.04,0.04
20231006000377,2023-10-06,00860730,A SELF-ADMINISTERED REAL ESTATE INVESTMENT TRUST,안상숙,-,-,10%이상주주,"458,762","4,742",10.28,0.11
20250403003562,2025-04-03,00145260,YOULCHON CHEMICAL,이용갑,Registered executive,감사,-,"2,500","2,500",0.01,0.01
20250411002920,2025-04-11,00145260,YOULCHON CHEMICAL,이용갑,Registered executive,감사,-,"4,500","2,000",0.02,0.01
20250422000472,2025-04-22,00145260,YOULCHON CHEMICAL,신동윤,Registered executive,회장,Shareholders holding 10% or more,"4,632,450","-170,000",18.68,-0.68
20250422000477,2025-04-22,00145260,YOULCHON CHEMICAL,신시열,Unregistered executive,상무,-,"1,321,175","1,321,175",5.33,5.33
20250507000547,2025-05-07,00145260,YOULCHON CHEMICAL,이용갑,Registered executive,감사,-,"6,000","1,500",0.02,0.00
20250801000873,2025-08-01,00145260,YOULCHON CHEMICAL,신동윤,Registered executive,회장,Shareholders holding 10% or more,"4,402,450","-230,000",17.75,-0.93
20250801000889,2025-08-01,00145260,YOULCHON CHEMICAL,신시열,Unregistered executive,상무,-,"1,551,175","230,000",6.26,0.94
20250403001924,2025-04-03,00118965,THN CORPORATION,박노하,Registered executive,사외이사,-,0,"-2,000",0.00,-0.01
20250708000033,2025-07-08,00118965,THN CORPORATION,함현욱,Unregistered executive,이사,-,"6,874","6,874",0.04,0.04
20230911000356,2023-09-11,01394377,IGIS Value Plus REIT,코람코자산운용,-,-,10%이상주주,"6,161,877","1,174,771",11.98,-1.09
20231010000549,2023-10-10,01394377,IGIS Value Plus REIT,이지스자산운용,-,-,10%이상주주,"7,494,361","274,846",14.57,-4.03
20240109000016,2024-01-09,01394377,IGIS Value Plus REIT,코람코자산운용,-,-,10%이상주주,"6,189,410","27,533",12.03,0.05
20240110000321,2024-01-10,01394377,IGIS Value Plus REIT,이지스자산운용,-,-,10%이상주주,"7,522,361","28,000",14.62,0.05
20240408002364,2024-04-08,01394377,IGIS Value Plus REIT,이지스자산운용,-,-,10%이상주주,"7,525,239","2,878",14.63,0.01
20240409000144,2024-04-09,01394377,IGIS Value Plus REIT,코람코자산운용,-,-,10%이상주주,"6,385,437","196,027",12.41,0.38
20240709000239,2024-07-09,01394377,IGIS Value Plus REIT,코람코자산운용,-,-,10%이상주주,"6,395,487","10,050",12.43,0.02
20240710000709,2024-07-10,01394377,IGIS Value Plus REIT,이지스자산운용,-,-,10%이상주주,"7,613,960","88,721",14.80,0.17
20240812000487,2024-08-12,01394377,IGIS Value Plus REIT,코람코자산운용,-,-,10%이상주주,"6,275,437","-120,050",12.20,-0.23
20240910000152,2024-09-10,01394377,IGIS Value Plus REIT,코람코자산운용,-,-,10%이상주주,"6,145,437","-130,000",11.95,-0.25
20241010000160,2024-10-10,01394377,IGIS Value Plus REIT,코람코자산운용,-,-,10%이상주주,"6,115,437","-30,000",11.89,-0.06
20241010000592,2024-10-10,01394377,IGIS Value Plus REIT,이지스자산운용,-,-,10%이상주주,"7,640,973","27,013",14.85,0.05
20241111000073,2024-11-11,01394377,IGIS Value Plus REIT,코람코자산운용,-,-,10%이상주주,"6,107,437","-8,000",11.87,-0.02
20241210000016,2024-12-10,01394377,IGIS Value Plus REIT,코람코자산운용,-,-,10%이상주주,"6,167,437","60,000",11.99,0.12
20250109000186,2025-01-09,01394377,IGIS Value Plus REIT,이지스자산운용,-,-,10%이상주주,"8,352,499","711,526",16.24,1.39
20250110000168,2025-01-10,01394377,IGIS Value Plus REIT,코람코자산운용,-,-,10%이상주주,"6,147,437","-20,000",11.95,-0.04
20250410001317,2025-04-10,01394377,IGIS Value Plus REIT,코람코자산운용,-,-,Shareholders holding 10% or more,"6,127,837","-19,600",11.91,-0.04
20250410001376,2025-04-10,01394377,IGIS Value Plus REIT,이지스자산운용,-,-,Shareholders holding 10% or more,"8,556,942","204,443",16.63,0.39
20250610000453,2025-06-11,01394377,IGIS Value Plus REIT,코람코자산운용,-,-,Shareholders holding 10% or more,"6,025,489","-102,348",11.71,-0.20
20250710000103,2025-07-10,01394377,IGIS Value Plus REIT,이지스자산운용,-,-,Shareholders holding 10% or more,"7,552,808","-1,004,134",14.68,-1.95
20250710000433,2025-07-10,01394377,IGIS Value Plus REIT,코람코자산운용,-,-,Shareholders holding 10% or more,"5,384,586","-640,903",10.47,-1.24
20250808000363,2025-08-08,01394377,IGIS Value Plus REIT,코람코자산운용,-,-,Shareholders holding 10% or more,"5,310,586","-74,000",10.32,-0.15
20240401004274,2024-04-01,00118008,DONGWON METAL,이승재,Unregistered executive,상무,-,"3,352,492","2,000,000",7.17,4.28
20240401004007,2024-04-01,00118008,DONGWON METAL,이은우,Registered executive,대표이사,-,"6,783,966","-3,000,000",14.51,-6.42
20240806000183,2024-08-06,00132354,Cuckoo Holdings,김재기,Unregistered executive,이사,-,120,120,0.00,0.00
20230919000145,2023-09-19,00168401,KUMBI,고병헌,Registered executive,회장,사실상지배주주,"97,795",-110,9.78,-0.01
20231114001234,2023-11-14,00168401,KUMBI,고병헌,Registered executive,회장,사실상지배주주,"94,795","-3,000",9.48,-0.30
20240117000113,2024-01-17,00168401,KUMBI,고기영,Registered executive,대표이사,10%이상주주,"116,860",880,11.69,0.09
20240126000228,2024-01-26,00168401,KUMBI,고기영,Registered executive,대표이사,10%이상주주,"116,955",95,11.70,0.01
20240726000319,2024-07-26,00168401,KUMBI,고병헌,Registered executive,회장,사실상지배주주,"85,795","-9,000",8.58,-0.90
20240808000258,2024-08-08,00168401,KUMBI,고기영,Registered executive,대표이사,10%이상주주,"117,091",136,11.71,0.01
20241218000207,2024-12-18,00168401,KUMBI,고기영,Registered executive,대표이사,10%이상주주,"117,568",477,11.76,0.05
20250320000737,2025-03-20,00168401,KUMBI,고기영,Registered executive,대표이사,Shareholders holding 10% or more,"117,618",50,11.76,0.00
20250407002481,2025-04-07,00168401,KUMBI,고기영,Registered executive,대표이사,Shareholders holding 10% or more,"117,681",63,11.77,0.01
20250407004259,2025-04-07,00648721,SNTEnergy,SNT홀딩스,-,-,Effective controlling shareholders,"12,509,001","8,339,334",60.49,4.94
20250724000543,2025-07-24,00648721,SNTEnergy,SNT홀딩스,-,-,Effective controlling shareholders,"12,306,401","-202,600",59.51,-0.98
20250725000800,2025-07-25,00648721,SNTEnergy,SNT홀딩스,-,-,Effective controlling shareholders,"12,205,113","-101,288",59.02,-0.49
20250729000260,2025-07-29,00648721,SNTEnergy,SNT홀딩스,-,-,Effective controlling shareholders,"12,103,825","-101,288",58.53,-0.49
20250806000331,2025-08-06,00648721,SNTEnergy,SNT홀딩스,-,-,Effective controlling shareholders,"12,053,181","-50,644",58.29,-0.24
20250808000627,2025-08-08,00648721,SNTEnergy,SNT홀딩스,-,-,Effective controlling shareholders,"12,002,537","-50,644",58.04,-0.25
20240208001197,2024-02-08,00136341,SHINSUNG TONGSANG,가나안,-,-,10%이상주주,"60,498,000","435,000",42.10,0.30
20240215001128,2024-02-15,00136341,SHINSUNG TONGSANG,염태순,Registered executive,대표이사,-,"3,171,768","-8,622,504",2.21,-6.00
20240724000356,2024-07-24,00136341,SHINSUNG TONGSANG,가나안,-,-,10%이상주주,"65,577,665","5,079,665",45.63,3.53
20240724000366,2024-07-24,00136341,SHINSUNG TONGSANG,에이션패션,-,-,10%이상주주,"28,763,343","3,386,443",20.02,2.36
20250711000225,2025-07-11,00136341,SHINSUNG TONGSANG,가나안,-,-,Shareholders holding 10% or more,"76,321,614","10,743,949",53.11,7.48
20250711000228,2025-07-11,00136341,SHINSUNG TONGSANG,에이션패션,-,-,Shareholders holding 10% or more,"33,367,892","4,604,549",23.22,3.20
20250717000273,2025-07-17,00136341,SHINSUNG TONGSANG,가나안,-,-,Shareholders holding 10% or more,"77,237,445","915,831",53.75,0.64
20250722000207,2025-07-22,00136341,SHINSUNG TONGSANG,가나안,-,-,Shareholders holding 10% or more,"77,511,614","274,169",53.94,0.19
20250311000156,2025-03-11,01532603,HWASEUNG R&A,화승코퍼레이션,-,-,Shareholders holding 10% or more,"6,228,799","4,087,583",32.79,21.52
20250311000153,2025-03-11,01532603,HWASEUNG R&A,현지호,Registered executive,부회장,Effective controlling shareholders,"82,527","-4,087,583",0.43,-21.53
20240709000311,2024-07-09,00218575,Hwang Kum Steel & Technology,윤성임,Registered executive,전무,-,"45,912","45,912",0.27,0.27
20240730000279,2024-07-30,00218575,Hwang Kum Steel & Technology,윤성임,Registered executive,전무,-,"62,078","16,166",0.37,0.10
20240814002127,2024-08-14,00218575,Hwang Kum Steel & Technology,윤성임,Registered executive,전무,-,"69,973","7,895",0.41,0.04
20250404004042,2025-04-04,00218575,Hwang Kum Steel & Technology,김종현,Registered executive,대표이사,Effective controlling shareholders,"5,412,771","48,500",31.84,0.29
20250408003170,2025-04-08,00218575,Hwang Kum Steel & Technology,김종현,Registered executive,대표이사,Effective controlling shareholders,"5,430,271","17,500",31.94,0.10
20250519000250,2025-05-19,00218575,Hwang Kum Steel & Technology,김종현,Registered executive,대표이사,Effective controlling shareholders,"5,452,271","22,000",32.07,0.13
20250609000168,2025-06-09,00218575,Hwang Kum Steel & Technology,김종현,Registered executive,대표이사,Effective controlling shareholders,"5,464,771","12,500",32.15,0.08
20250623000351,2025-06-23,00218575,Hwang Kum Steel & Technology,김종현,Registered executive,대표이사,Effective controlling shareholders,"5,500,933","36,162",32.36,0.21
20250624000381,2025-06-24,00218575,Hwang Kum Steel & Technology,김종현,Registered executive,대표이사,Effective controlling shareholders,"5,514,233","13,300",32.44,0.08
20250325000731,2025-03-25,00103042,KCTC,박현규,-,-,Effective controlling shareholders,0,"-33,930",0,-0.11
20230816000125,2023-08-16,00120872,MANHO ROPE & WIRE,하나자산운용,-,-,10%이상주주,"497,520","-2,400",11.99,-0.06
20240116000205,2024-01-16,00120872,MANHO ROPE & WIRE,김상환,Registered executive,대표이사,사실상지배주주,"309,527","10,257",7.46,0.25
20240116000208,2024-01-16,00120872,MANHO ROPE & WIRE,김충환,Registered executive,전무이사,사실상지배주주,"96,700","10,000",2.33,0.24
20240220001977,2024-02-20,00120872,MANHO ROPE & WIRE,김상환,Registered executive,대표이사,사실상지배주주,"370,422","60,895",8.93,1.47
20250611000444,2025-06-11,00135777,SHINDAEYANG PAPER,신대한판지,-,-,Shareholders holding 10% or more,"5,552,042","1,418,792",13.78,3.52
20250725000726,2025-07-25,00135777,SHINDAEYANG PAPER,권혁홍,Registered executive,대표이사,Effective controlling shareholders,"6,614,792","-330,000",16.41,-0.82
20231026000175,2023-10-26,00127200,SAMYOUNG ELECTRONICS,김성수,Registered executive,"대표이사
사장",-,"3,000","1,000",0.02,0.01
20231116000075,2023-11-16,00127200,SAMYOUNG ELECTRONICS,김준화,Registered executive,기획관리총괄중역,-,"1,000","1,000",0.00,0.00
20230818000213,2023-08-18,00145464,LEEKU INDUSTRIAL,권득호,Registered executive,사내이사,-,0,"-15,000",0,-0.04
20230818000209,2023-08-18,00145464,LEEKU INDUSTRIAL,김영길,Registered executive,대표이사,-,0,"-50,000",0,-0.15
20240308000224,2024-03-08,00816544,TONYMOLY,김승철,Registered executive,대표이사,-,"10,000","10,000",0.04,0.04
20250623000345,2025-06-23,00816544,TONYMOLY,김승철,Registered executive,대표이사,-,0,"-10,000",0.00,-0.04
20240712000514,2024-07-12,00823429,HANKOOK COSMETICS,김숙자,Unregistered executive,회장,10%이상주주,"1,519,855","-368,098",9.45,-2.3
